,value,percentage,datetime,COD-CCAA
0,2510836.663,1,2019-01-01T00:00:00.000+01:00,15
1,2134019.425,1,2019-02-01T00:00:00.000+01:00,15
2,2164887.68,1,2019-03-01T00:00:00.000+01:00,15
3,2082313.392,1,2019-04-01T00:00:00.000+02:00,15
4,2123696.885,1,2019-05-01T00:00:00.000+02:00,15
5,2173952.957,1,2019-06-01T00:00:00.000+02:00,15
6,2732096.081,1,2019-07-01T00:00:00.000+02:00,15
7,2443273.028,1,2019-08-01T00:00:00.000+02:00,15
8,2226532.905,1,2019-09-01T00:00:00.000+02:00,15
9,2186210.866,1,2019-10-01T00:00:00.000+02:00,15
10,2209449.199,1,2019-11-01T00:00:00.000+01:00,15
11,2222962.963,1,2019-12-01T00:00:00.000+01:00,15
