name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in Barcelona,4.42,1 bath,4 beds,3 bedrooms,400154,Mireia,Sant Martí,el Clot,Entire home/apt,187.0,3,89,2023-12-12,0.61,9,102,26,HUTB-000083,41.4068,2.1865
Rental unit in Barcelona,4.52,1 bath,3 beds,3 bedrooms,1298586,Kristjan & Ana,Sant Martí,Sant Martí de Provençals,Entire home/apt,144.0,2,134,2023-12-04,0.93,7,345,4,HUTB-009465,41.4163,2.2015
Rental unit in Barcelona,4.64,1 bath,3 beds,3 bedrooms,431839,Xavier,Sants-Montjuïc,el Poble Sec,Entire home/apt,140.0,5,176,2023-12-04,1.15,1,103,23,HUTB-004026,41.3737,2.1671
Rental unit in Barcelona,,,1 bed,1 bedroom,1008598,Dana,Sant Andreu,Navas,Private room,30.0,3,2,2023-05-31,0.28,1,0,2,,41.4151,2.1886
Rental unit in Barcelona,4.70,1 bath,7 beds,3 bedrooms,488117,David Y Maria,Ciutat Vella,el Raval,Entire home/apt,160.0,6,23,2023-06-26,0.17,6,298,2,HUTB-013579,41.3786,2.1674
Rental unit in Barcelona,4.43,1 bath,2 beds,1 bedroom,1310304,Luis,Ciutat Vella,el Raval,Entire home/apt,38.0,32,25,2023-09-03,0.17,43,293,1,,41.3817,2.172
Rental unit in Barcelona,4.79,1 bath,1 bed,1 bedroom,3556337,Alejandro,Eixample,la Dreta de l'Eixample,Entire home/apt,95.0,1,349,2023-11-26,2.37,51,322,15,HUTB-002215,41.3922,2.1781
Rental unit in Barcelona,4.84,1 shared bath,1 bed,1 bedroom,1348378,Lidia,Gràcia,Vallcarca i els Penitents,Private room,28.0,31,69,2023-09-02,0.48,2,202,4,,41.4134,2.1389
Rental unit in Barcelona,4.74,1 bath,1 bed,1 bedroom,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,47.0,120,67,2022-10-31,0.46,1,0,0,,41.4088,2.1661
Rental unit in Barcelona,4.52,1 shared bath,1 bed,1 bedroom,1350468,Petrutz,Ciutat Vella,el Barri Gòtic,Private room,60.0,31,220,2023-10-28,1.56,1,350,33,,41.3801,2.1769
Rental unit in Barcelona,4.15,1 bath,2 beds,1 bedroom,396363,Alcam Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,94.0,1,47,2023-12-03,0.34,96,164,12,HUTB-003671,41.4027,2.1665
Rental unit in Barcelona,4.62,Shared half-bath,2 beds,1 bedroom,1352184,Jasmin,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,45.0,31,128,2022-10-18,0.91,1,365,0,,41.3833,2.181
Rental unit in Barcelona,4.40,2 baths,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,258.0,2,118,2023-11-11,0.78,19,50,13,HUTB-000333,41.4065,2.1746
Rental unit in Barcelona,4.58,2 baths,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,248.0,2,50,2023-11-19,0.33,19,63,9,HUTB000331,41.4065,2.1746
Rental unit in Barcelona,4.58,2 baths,5 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,258.0,2,56,2023-10-29,0.38,19,0,14,HUTB-000328,41.4065,2.1746
Rental unit in Barcelona,4.86,2 baths,1 bed,1 bedroom,635253,Sebastian,Sants-Montjuïc,Sants,Entire home/apt,72.0,3,403,2023-12-06,2.7,1,0,55,HUTB-012603,41.3716,2.1366
Boat in Barcelona,4.50,4 baths,6 beds,4 bedrooms,1404293,Sergio,Ciutat Vella,el Barri Gòtic,Entire home/apt,1000.0,2,35,2023-10-25,0.25,1,360,3,Exempt,41.3778,2.1844
Rental unit in Barcelona,4.64,1.5 baths,3 beds,2 bedrooms,664196,Teresa,Sant Martí,el Poblenou,Entire home/apt,150.0,2,127,2021-09-23,0.86,2,246,0,,41.3979,2.2043
Rental unit in Barcelona,4.60,1 shared bath,1 bed,1 bedroom,610674,Maria,Les Corts,Pedralbes,Private room,40.0,32,133,2023-10-29,0.89,3,295,4,,41.3883,2.122
Rental unit in Barcelona,4.55,2 baths,3 beds,3 bedrooms,1405013,Midtown,Eixample,la Dreta de l'Eixample,Entire home/apt,114.0,2,54,2023-12-09,0.38,11,186,28,HUTB-004071,41.3927,2.1721
Rental unit in Barcelona,4.65,2 baths,3 beds,3 bedrooms,1405013,Midtown,Eixample,la Dreta de l'Eixample,Entire home/apt,118.0,2,103,2023-11-27,1.22,11,185,45,HUTB-004072,41.3918,2.1715
Loft in Barcelona,4.71,1 bath,1 bed,1 bedroom,1411775,Jeremies,Eixample,la Sagrada Família,Entire home/apt,114.0,7,78,2023-09-24,1.08,2,358,11,HUTB-001129,41.4018,2.1761
Rental unit in Barcelona,4.50,2 baths,6 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,258.0,2,118,2023-11-01,0.78,19,52,9,HUTB000329,41.4065,2.1746
Rental unit in Barcelona,4.25,1 shared bath,1 bed,1 bedroom,711907,Antuan,Horta-Guinardó,el Guinardó,Private room,18.0,31,130,2023-08-10,1.24,1,313,4,Exempt,41.4234,2.1749
Rental unit in Barcelona,4.86,1 shared bath,1 bed,1 bedroom,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,Private room,32.0,31,95,2023-03-13,0.63,1,0,1,Exempt,41.392,2.151
Rental unit in Barcelona,4.51,2 baths,5 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,239.0,2,67,2023-11-12,0.47,19,0,10,HUTB000326,41.4064,2.1745
Rental unit in Barcelona,4.93,2 baths,6 beds,3 bedrooms,1425070,Mar,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,461.0,4,404,2023-11-20,2.9,1,0,41,HUTB003208,41.3835,2.158
Rental unit in Barcelona,4.82,1 bath,2 beds,2 bedrooms,400154,Mireia,Sant Martí,el Clot,Entire home/apt,158.0,3,89,2023-11-07,0.69,9,98,25,HUTB-004663,41.4067,2.1859
Rental unit in Barcelona,4.73,1 bath,3 beds,2 bedrooms,400154,Mireia,Sant Martí,el Clot,Entire home/apt,158.0,3,56,2023-11-05,0.86,9,24,29,HUTB-004664,41.4068,2.1855
Rental unit in Barcelona,4.41,1.5 baths,5 beds,3 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,239.0,2,26,2023-11-12,0.26,19,0,9,HUTB000327,41.4065,2.1746
Rental unit in Barcelona,4.63,1 bath,1 bed,1 bedroom,1429552,Marta,Eixample,Sant Antoni,Entire home/apt,130.0,7,166,2023-10-07,1.18,1,261,16,HUTB-004121,41.3778,2.1582
Rental unit in Barcelona,4.69,2 baths,2 beds,2 bedrooms,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,120.0,3,265,2023-11-17,1.84,40,325,41,HUTB-004184,41.3895,2.1577
Rental unit in Barcelona,4.69,2 baths,4 beds,3 bedrooms,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,Entire home/apt,276.0,3,113,2023-11-10,0.76,4,53,16,hutb-005119,41.3926,2.1769
Rental unit in Barcelona,,,1 bed,1 bedroom,919480,Elisa,Les Corts,Pedralbes,Private room,,7,1,2016-06-09,0.01,1,0,0,,41.3889,2.1244
Rental unit in Barcelona,4.94,4 baths,5 beds,4 bedrooms,953719,Julia,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,344.0,3,391,2023-12-04,2.63,1,0,58,HUTB-506707,41.3884,2.1611
Rental unit in Barcelona,,,5 beds,2 bedrooms,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,Entire home/apt,100.0,1,2,2022-10-03,0.01,174,365,0,,41.3731,2.1679
Rental unit in Barcelona,4.18,1 bath,5 beds,2 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,el Barri Gòtic,Entire home/apt,90.0,1,13,2015-05-16,0.09,174,365,0,,41.3794,2.1811
Condo in Barcelona,4.67,2 baths,4 beds,3 bedrooms,1435464,Jaume,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,140.0,1,132,2023-10-23,0.96,17,305,21,HUTB-012040,41.3831,2.1552
Condo in Barcelona,4.76,2 baths,6 beds,3 bedrooms,1435464,Jaume,Sarrià-Sant Gervasi,Sarrià,Entire home/apt,195.0,1,77,2023-08-27,0.55,17,282,13,HUTB-012910,41.3918,2.1251
Rental unit in Barcelona,4.46,2 baths,7 beds,4 bedrooms,567180,Sandra,Eixample,la Sagrada Família,Entire home/apt,239.0,2,133,2023-11-19,0.89,19,19,21,HUTB-000325,41.4066,2.1746
Rental unit in Barcelona,4.52,1 bath,2 beds,1 bedroom,632830,"M Angeles, Federico",Gràcia,la Vila de Gràcia,Entire home/apt,41.0,31,359,2023-10-29,2.46,2,21,6,HUTB01295238,41.4066,2.1512
Rental unit in Barcelona,4.58,1 bath,5 beds,2 bedrooms,1444707,Jesus,Gràcia,el Coll,Entire home/apt,87.0,3,555,2023-12-04,3.85,2,331,70,HUTB - 004405,41.4204,2.148
Rental unit in Barcelona,4.83,1.5 baths,4 beds,2 bedrooms,898600,Andre,Eixample,la Dreta de l'Eixample,Entire home/apt,154.0,1,390,2023-12-03,2.79,2,0,65,HUTB-005602,41.3914,2.1613
Rental unit in Barcelona,4.93,1 bath,2 beds,1 bedroom,1475411,Francesco,Sant Martí,el Parc i la Llacuna del Poblenou,Entire home/apt,120.0,7,308,2023-12-03,2.14,1,236,23,HUTB-005731,41.3909,2.188
Rental unit in Barcelona,4.65,1 bath,2 beds,1 bedroom,1447144,Acomodis Apartments,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,120.0,30,19,2019-10-31,0.13,174,360,0,,41.3884,2.1502
Rental unit in Barcelona,4.86,1 bath,4 beds,3 bedrooms,1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,180.0,31,7,2023-07-27,0.05,174,365,2,,41.3849,2.1809
Rental unit in Barcelona,4.88,2 baths,5 beds,2 bedrooms,1447144,Acomodis Apartments,Sant Martí,la Vila Olímpica del Poblenou,Entire home/apt,190.0,32,8,2013-10-26,0.06,174,365,0,,41.3938,2.1981
Rental unit in Barcelona,4.80,2 baths,1 bed,1 bedroom,2176121,Rosa María,Eixample,el Fort Pienc,Private room,45.0,31,116,2019-11-30,0.82,2,172,0,,41.3983,2.1812
Rental unit in Barcelona,4.63,2 baths,3 beds,2 bedrooms,2181314,Javier,Gràcia,la Vila de Gràcia,Entire home/apt,132.0,2,347,2023-12-12,2.48,1,174,33,HUTB012497,41.4,2.1579
Serviced apartment in Barcelona,4.62,1 bath,2 beds,2 bedrooms,2201772,Dmitry,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,249.0,1,48,2022-11-25,0.34,7,343,0,0168028-0,41.3879,2.1522
Rental unit in Barcelona,4.66,1 bath,3 beds,2 bedrooms,2202284,Johanna,Eixample,la Sagrada Família,Entire home/apt,113.0,4,176,2023-11-24,1.26,21,0,29,HUTB-002983,41.41,2.1755
Rental unit in Barcelona,4.78,1 shared bath,1 bed,1 bedroom,2204578,Francesca,Ciutat Vella,el Barri Gòtic,Private room,28.0,31,358,2023-11-30,2.61,1,44,25,,41.3773,2.1765
Loft in Barcelona,4.69,1 bath,2 beds,1 bedroom,612665,Oscar,Gràcia,la Vila de Gràcia,Entire home/apt,134.0,3,246,2023-11-20,1.7,4,209,36,HUTB-012627,41.407,2.1611
Rental unit in Barcelona,4.62,1 bath,3 beds,2 bedrooms,1267680,Victor,Eixample,la Dreta de l'Eixample,Entire home/apt,178.0,4,86,2023-11-27,0.62,6,359,4,HUTB-004205,41.3895,2.1759
Loft in Barcelona,4.78,1 bath,2 beds,1 bedroom,1267680,Victor,Ciutat Vella,el Raval,Entire home/apt,117.0,4,197,2023-11-26,1.41,6,0,35,HUTB-003091,41.3814,2.1669
Rental unit in Barcelona,4.89,1 bath,3 beds,2 bedrooms,1994100,Marcello,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,100.0,3,45,2023-11-27,0.31,3,0,12,HUTB-011450,41.4047,2.1715
