name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in barcelona,4.11,1 bath,4 beds,3 bedrooms,113020313,Javier,Eixample,la Sagrada Família,Entire home/apt,94.0,1,18,2022-06-17,0.27,18,210,0,HUTB-009977,41.4044,2.1721
Rental unit in barcelona,4.17,1 bath,4 beds,3 bedrooms,113020313,Javier,Eixample,la Sagrada Família,Entire home/apt,94.0,1,23,2023-02-21,0.32,18,222,2,HUTB-009977,41.4044,2.1721
Rental unit in Barcelona,4.23,2 baths,5 beds,3 bedrooms,113020313,Javier,Gràcia,la Vila de Gràcia,Entire home/apt,105.0,1,62,2022-09-17,0.78,18,198,0,HUTB-012480,41.3999,2.1565
Rental unit in Barcelona,4.21,2 baths,5 beds,3 bedrooms,113020313,Javier,Gràcia,la Vila de Gràcia,Entire home/apt,105.0,1,52,2023-08-21,0.66,18,203,8,HUTB-012480,41.3999,2.1565
Rental unit in Barcelona,3.89,2 baths,5 beds,3 bedrooms,113020313,Javier,Gràcia,la Vila de Gràcia,Entire home/apt,105.0,1,19,2022-05-26,0.25,18,180,0,HUTB-012480,41.3999,2.1565
Rental unit in Barcelona,4.0,1 bath,4 beds,3 bedrooms,113020313,Javier,Gràcia,la Vila de Gràcia,Entire home/apt,107.0,1,8,2022-08-20,0.1,18,185,0,HUTB-012480,41.3999,2.1565
Rental unit in barcelona,3.75,1 bath,3 beds,1 bedroom,113020313,Javier,Eixample,la Sagrada Família,Entire home/apt,74.0,1,24,2023-11-21,0.33,18,222,5,HUTB-009648,41.4085,2.1777
Place to stay in Barcelona,,,1 bed,1 bedroom,3745058,Guillermo,Sants-Montjuïc,Hostafrancs,Private room,,6,1,2017-08-22,0.01,1,0,0,,41.3745,2.1474
Rental unit in Barcelona,,,1 bed,1 bedroom,32842317,Haïssa,Eixample,Sant Antoni,Private room,,3,2,2017-04-23,0.02,2,0,0,,41.3797,2.16
Rental unit in Barcelona,4.21,1 shared bath,1 bed,1 bedroom,105568192,Joana,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,33.0,2,33,2023-10-27,0.41,1,0,5,Exempt,41.3848,2.1837
Rental unit in Barcelona,,,3 beds,3 bedrooms,2181745,Natallia,Sant Martí,el Besòs i el Maresme,Entire home/apt,,7,2,2023-08-25,0.41,2,0,2,,41.4181,2.213
Rental unit in Barcelona,,,1 bed,1 bedroom,9222205,Paula,Sants-Montjuïc,el Poble Sec,Private room,,5,2,2017-08-01,0.03,1,0,0,,41.3721,2.1638
Rental unit in Barcelona,4.72,1.5 shared baths,1 bed,1 bedroom,46468012,Camille,Ciutat Vella,el Barri Gòtic,Private room,,2,32,2017-11-01,0.39,1,0,0,,41.3819,2.179
Rental unit in Barcelona,,,1 bed,1 bedroom,125794258,Cesar,Eixample,el Fort Pienc,Private room,,2,1,2017-06-04,0.01,1,0,0,,41.398,2.1809
Rental unit in Barcelona,4.63,1 bath,1 bed,1 bedroom,665793,Lore,Sants-Montjuïc,el Poble Sec,Entire home/apt,89.0,2,234,2023-11-14,2.94,10,356,44,HUTB006271,41.3736,2.1575
Rental unit in Barcelona,,,3 beds,2 bedrooms,26828317,Blackandwhitehome,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,65.0,32,0,,,9,214,0,,41.3855,2.1799
Rental unit in Barcelona,4.56,2 baths,4 beds,3 bedrooms,2176127,Silvana,Sant Martí,Sant Martí de Provençals,Entire home/apt,81.0,3,158,2023-12-11,2.05,1,226,46,HUTB-012999,41.4166,2.197
Rental unit in Barcelona,4.92,1 bath,4 beds,1 bedroom,28033024,Gemma,Eixample,Sant Antoni,Entire home/apt,136.0,2,47,2023-11-24,0.58,1,0,10,HUTB-004119,41.3783,2.156
Rental unit in Barcelona,,,1 bed,1 bedroom,34835817,Xavi,Sant Martí,el Clot,Private room,,2,0,,,1,0,0,,41.4093,2.1937
Rental unit in Barcelona,4.66,2 shared baths,1 bed,1 bedroom,130581398,Martin,Ciutat Vella,el Barri Gòtic,Private room,45.0,31,50,2022-10-16,0.64,2,364,0,,41.3859,2.1719
Rental unit in Barcelona,4.50,1 private bath,1 bed,1 bedroom,15804505,Nas & Nick,Sant Martí,el Parc i la Llacuna del Poblenou,Private room,,1,18,2017-11-05,0.22,1,0,0,,41.4021,2.1896
Rental unit in Barcelona,4.54,1 shared bath,1 bed,1 bedroom,83980731,Ronald Michael,Eixample,la Nova Esquerra de l'Eixample,Private room,,2,28,2017-11-07,0.35,1,0,0,,41.3799,2.1537
Rental unit in Spain,4.39,1 bath,3 beds,2 bedrooms,126010926,Ramblas Rentals,Gràcia,la Vila de Gràcia,Entire home/apt,103.0,1,144,2023-11-26,1.82,7,357,46,HUTB-006388,41.405,2.1573
Rental unit in Barcelona,4.17,1 shared bath,1 bed,1 bedroom,19859511,Valeri,Ciutat Vella,la Barceloneta,Private room,,2,6,2017-08-27,0.08,1,0,0,,41.38,2.1879
Rental unit in Barcelona,,,1 bed,1 bedroom,6152155,Chris,Eixample,l'Antiga Esquerra de l'Eixample,Private room,,3,0,,,1,0,0,,41.3929,2.1532
Rental unit in Barcelona,4.85,1 private bath,3 beds,1 bedroom,123930441,Elías,Ciutat Vella,el Barri Gòtic,Private room,75.0,4,82,2023-11-03,1.03,1,16,32,,41.3856,2.1703
Rental unit in Barcelona,4.61,1 bath,3 beds,2 bedrooms,126398491,Anna,Gràcia,la Vila de Gràcia,Entire home/apt,210.0,5,120,2023-10-10,1.48,1,347,10,HUTB-008544,41.4005,2.1569
Rental unit in BARCELONA,4.11,1.5 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,119.0,3,98,2023-10-29,1.24,179,342,17,HUTB-001529,41.3844,2.1512
Rental unit in Barcelona,4.88,2 baths,5 beds,3 bedrooms,2273079,Florenza,Eixample,la Dreta de l'Eixample,Entire home/apt,291.0,3,242,2023-11-20,3.07,4,151,40,HUTB-009702,41.395,2.1712
Rental unit in Barcelona,4.75,2 baths,4 beds,3 bedrooms,1986299,Clickandflat,Gràcia,la Vila de Gràcia,Entire home/apt,150.0,1,4,2023-08-12,0.1,25,336,1,Exempt,41.3974,2.1572
Rental unit in Barcelona,4.69,1 shared bath,1 bed,1 bedroom,16485878,Marcel,Sant Martí,el Camp de l'Arpa del Clot,Private room,58.0,31,130,2023-10-17,1.61,1,141,1,Exempt,41.4099,2.183
Rental unit in Barcelona,4.84,1.5 shared baths,1 bed,1 bedroom,130764852,Luis,Eixample,la Sagrada Família,Private room,40.0,2,97,2023-11-28,6.08,1,45,69,,41.4045,2.1835
Guesthouse in Barcelona,4.81,1 private bath,2 beds,1 bedroom,126554507,Rosanna I Marc,Sarrià-Sant Gervasi,Sarrià,Private room,45.0,31,102,2023-08-10,1.26,1,356,2,,41.4023,2.1193
Rental unit in Barcelona,4.65,1 shared bath,1 bed,1 bedroom,130792415,Manel,Gràcia,la Vila de Gràcia,Private room,,5,43,2018-11-07,0.54,1,0,0,,41.4042,2.1602
Home in Barcelona,4.29,1 private bath,1 bed,1 bedroom,130804906,Ilona,Sants-Montjuïc,Sants - Badal,Private room,,4,7,2017-08-25,0.09,1,0,0,,41.3743,2.1242
Rental unit in Barcelona,4.83,2.5 baths,6 beds,3 bedrooms,27778700,Juan Carlos & Nina,Eixample,la Dreta de l'Eixample,Entire home/apt,159.0,4,175,2023-11-25,2.17,7,341,51,HUTB-007502,41.3997,2.1732
Rental unit in Barcelona,,,1 bed,1 bedroom,3376710,Maria StayBarcelona,Gràcia,la Vila de Gràcia,Entire home/apt,73.0,32,1,2022-06-05,0.05,42,271,0,HUTB-005875,41.4017,2.1626
Rental unit in Barcelona,,,1 bed,2 bedrooms,10693680,Ramón,Gràcia,la Vila de Gràcia,Entire home/apt,73.0,32,0,,,36,271,0,,41.4004,2.1628
Rental unit in Barcelona,4.67,0 baths,3 beds,3 bedrooms,54820821,Albert,Eixample,la Sagrada Família,Entire home/apt,124.0,1,129,2023-11-19,1.62,23,333,17,HUTB-011315,41.4053,2.1714
Rental unit in Barcelona,4.45,1 bath,4 beds,2 bedrooms,130878430,Apartments Freser 78,Sant Martí,el Camp de l'Arpa del Clot,Entire home/apt,122.0,28,33,2023-06-25,0.42,10,77,5,HUTB-000253,41.4128,2.1812
Rental unit in Barcelona,4.82,1.5 baths,3 beds,2 bedrooms,130872820,Marta,Ciutat Vella,el Raval,Entire home/apt,46.0,32,11,2023-08-17,0.16,2,161,3,Exempt,41.379,2.172
Rental unit in Barcelona,5.0,1.5 baths,1 bed,1 bedroom,18016757,Josep,Ciutat Vella,el Barri Gòtic,Entire home/apt,,31,6,2019-08-31,0.08,1,0,0,Exempt,41.3841,2.1746
Rental unit in Barcelona,,,2 beds,2 bedrooms,2931800,Xavier,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,,32,2,2018-09-30,0.03,1,0,0,,41.3863,2.1438
Rental unit in Barcelona,4.64,2 baths,6 beds,3 bedrooms,27778700,Juan Carlos & Nina,Sants-Montjuïc,la Font de la Guatlla,Entire home/apt,117.0,4,128,2023-11-26,1.59,7,321,30,HUTB-787690,41.3731,2.1472
Rental unit in Barcelona,4.84,1 shared bath,1 bed,1 bedroom,131010035,Petit'SPlace,Eixample,la Sagrada Família,Private room,,2,90,2021-09-12,1.13,1,0,0,,41.4049,2.173
Rental unit in Barcelona,5.0,2 shared baths,1 bed,1 bedroom,79500346,Andrea,Eixample,el Fort Pienc,Private room,22.0,35,8,2023-12-11,0.28,8,287,4,Exempt,41.396,2.1771
Rental unit in Barcelona,4.76,2 baths,3 beds,2 bedrooms,131028869,Belén,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,151.0,1,296,2023-12-07,3.84,5,0,69,HUTB-007942,41.3818,2.1529
Rental unit in Barcelona,4.58,1.5 shared baths,1 bed,1 bedroom,53280265,Hristiyana,Eixample,la Nova Esquerra de l'Eixample,Private room,,3,12,2017-10-19,0.15,1,0,0,,41.3834,2.1494
Rental unit in Barcelona,4.31,1 bath,2 beds,2 bedrooms,116797836,Llorens,Eixample,Sant Antoni,Entire home/apt,129.0,3,125,2023-11-01,1.58,3,0,29,HUTB-007756,41.3817,2.1622
Rental unit in Barcelona,4.58,1 bath,4 beds,2 bedrooms,5543127,Vicky & Agus,Eixample,la Sagrada Família,Entire home/apt,128.0,1,166,2023-11-13,2.09,23,233,44,HUTB-440852,41.4024,2.1762
Rental unit in Barcelona,4.86,1 bath,4 beds,2 bedrooms,131028869,Belén,Eixample,la Dreta de l'Eixample,Entire home/apt,203.0,1,90,2023-12-07,1.19,5,317,52,HUTB-003315,41.3909,2.1665
Rental unit in Barcelona,4.88,1 bath,3 beds,2 bedrooms,131028869,Belén,Eixample,la Dreta de l'Eixample,Entire home/apt,187.0,1,160,2023-11-22,2.13,5,0,49,HUTB-003314,41.3905,2.1666
Rental unit in Barcelona,,,2 beds,2 bedrooms,131202147,Kim,Eixample,Sant Antoni,Entire home/apt,78.0,32,2,2017-10-02,0.03,1,364,0,,41.3822,2.1624
Rental unit in Barcelona,4.50,1 shared bath,1 bed,3 bedrooms,23612346,Laura,Sant Andreu,la Sagrera,Private room,,3,6,2017-06-12,0.07,1,0,0,,41.4245,2.1864
Rental unit in BARCELONA,4.13,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,108.0,2,105,2023-11-25,1.39,179,345,30,HUTB-011536,41.3998,2.1804
Rental unit in BARCELONA,4.28,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,106.0,2,79,2023-11-27,0.99,179,338,3,HUTB-010488,41.3995,2.1786
Rental unit in Barcelona,4.60,1 shared bath,1 bed,1 bedroom,131410175,David,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,29.0,30,189,2023-11-28,2.41,1,131,3,Exempt,41.3879,2.1773
Rental unit in BARCELONA,4.21,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,122.0,2,106,2023-12-02,1.42,179,352,24,HUTB-010485,41.3998,2.1784
Rental unit in Barcelona,4.58,1.5 shared baths,2 beds,1 bedroom,107862442,Lidia,Eixample,la Nova Esquerra de l'Eixample,Private room,,3,24,2017-09-25,0.3,1,0,0,,41.3816,2.15
Rental unit in Barcelona,4.71,4 baths,7 beds,4 bedrooms,128959838,Jordi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,394.0,1,51,2023-11-18,0.76,35,228,14,HUTB-002303,41.3879,2.1761
Rental unit in Barcelona,4.80,1 shared bath,1 bed,2 bedrooms,127725419,Alis,Ciutat Vella,el Raval,Private room,,2,5,2017-09-30,0.06,1,0,0,,41.3762,2.167
Rental unit in Barcelona,4.44,1 bath,4 beds,3 bedrooms,10582280,Mariscos,Eixample,la Sagrada Família,Entire home/apt,197.0,1,36,2022-12-01,0.45,4,340,0,HUTB-008204,41.4004,2.1748
Rental unit in Barcelona,4.43,1 bath,4 beds,1 bedroom,116797836,Llorens,Eixample,la Dreta de l'Eixample,Entire home/apt,99.0,3,136,2023-11-28,1.72,3,70,22,hutb-000545,41.397,2.1612
Rental unit in Barcelona,4.50,2 baths,7 beds,4 bedrooms,128959838,Jordi,Ciutat Vella,el Raval,Entire home/apt,368.0,1,84,2023-11-25,1.07,35,254,24,HUTB-000728,41.3812,2.1728
Rental unit in Barcelona,4.90,1 private bath,1 bed,1 bedroom,2321978,David J,Sants-Montjuïc,Sants,Private room,70.0,32,181,2023-09-24,2.28,1,362,5,,41.3779,2.1362
Rental unit in Barcelona,4.78,2 baths,4 beds,2 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,185.0,1,18,2023-11-04,0.32,35,262,14,HUTB-001822,41.4063,2.2142
Rental unit in Barcelona,4.59,2 baths,4 beds,2 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,185.0,1,37,2023-10-04,0.49,35,270,12,HUTB-000290,41.4057,2.2152
Rental unit in Barcelona,4.58,2 shared baths,1 bed,1 bedroom,79500346,Andrea,Eixample,la Dreta de l'Eixample,Private room,19.0,35,12,2023-09-09,0.16,8,272,4,,41.3948,2.175
Rental unit in BARCELONA,04.04,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,96.0,2,53,2023-08-26,0.66,179,336,9,HUTB-011541,41.399,2.1801
Rental unit in Barcelona,4.45,2 baths,1 bed,1 bedroom,77548260,Andrea,Eixample,la Dreta de l'Eixample,Private room,17.0,35,11,2023-11-19,0.14,9,286,5,Exempt,41.3964,2.1762
Rental unit in BARCELONA,4.38,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,119.0,2,111,2023-12-01,1.4,179,359,9,HUTB-011552,41.3991,2.1799
Rental unit in Barcelona,4.98,2 baths,6 beds,3 bedrooms,76355464,Leo,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,161.0,4,306,2023-12-04,3.84,1,295,58,HUTB-003155,41.3854,2.145
Rental unit in Barcelona,,,1 bed,1 bedroom,125408597,Abdel,Ciutat Vella,el Raval,Private room,,1,1,2017-05-27,0.01,1,0,0,,41.3798,2.1734
Rental unit in BARCELONA,4.34,2 baths,6 beds,3 bedrooms,4459553,AB Apartment Barcelona,Eixample,el Fort Pienc,Entire home/apt,107.0,2,83,2023-11-27,1.05,179,355,13,HUTB-010484,41.4012,2.1802
Rental unit in Barcelona,3.71,1 bath,3 beds,2 bedrooms,75450,Sasa,Ciutat Vella,el Raval,Entire home/apt,45.0,32,7,2022-09-27,0.1,2,51,0,Exempt,41.3796,2.1662
Rental unit in Barcelona,4.73,1 shared bath,1 bed,1 bedroom,125170011,Charly,Ciutat Vella,el Raval,Private room,,3,11,2018-04-08,0.14,2,0,0,Exempt,41.3768,2.1723
Rental unit in Barcelona,5.0,1 bath,1 bed,1 bedroom,131740731,Jose,Ciutat Vella,el Raval,Entire home/apt,57.0,32,7,2023-11-30,0.48,1,233,6,Exempt,41.384,2.1659
Rental unit in Barcelona,4.93,1 bath,1 bed,1 bedroom,62234492,Aptsbcn,Ciutat Vella,el Barri Gòtic,Entire home/apt,50.0,32,14,2023-09-29,0.29,3,158,6,,41.3862,2.1735
Rental unit in Barcelona,4.84,2 baths,3 beds,2 bedrooms,8130906,Arina You Stylish,Eixample,la Dreta de l'Eixample,Entire home/apt,258.0,1,44,2023-11-28,0.56,34,291,15,HUTB-012669,41.3895,2.169
Rental unit in Barcelona,4.67,1 bath,5 beds,2 bedrooms,130878430,Apartments Freser 78,Sant Martí,el Camp de l'Arpa del Clot,Entire home/apt,121.0,28,40,2023-09-01,0.51,10,94,7,HUTB-008027,41.4117,2.1809
Rental unit in Barcelona,4.87,1 bath,2 beds,1 bedroom,362734677,Juan Carlos,Sants-Montjuïc,el Poble Sec,Entire home/apt,96.0,3,254,2023-12-04,3.21,9,0,44,HUTB-007545,41.3723,2.1671
Rental unit in Barcelona,4.57,1.5 shared baths,2 beds,1 bedroom,79228669,Chloe,Sant Martí,el Parc i la Llacuna del Poblenou,Private room,,2,23,2019-09-28,0.29,2,0,0,Exempt,41.3914,2.1882
Rental unit in Barcelona,4.83,1 bath,4 beds,2 bedrooms,130878430,Apartments Freser 78,Sant Martí,el Camp de l'Arpa del Clot,Entire home/apt,88.0,28,42,2023-10-25,0.53,10,78,3,HUTB-000250,41.4118,2.1805
Rental unit in Barcelona,4.22,1 shared bath,1 bed,1 bedroom,131819871,Stefano,Ciutat Vella,la Barceloneta,Private room,36.0,31,130,2023-11-28,1.65,1,42,22,,41.3788,2.191
Rental unit in Barcelona,4.75,1 shared bath,3 beds,1 bedroom,15738246,G. Carolina,Sant Martí,la Verneda i la Pau,Private room,40.0,1,8,2019-12-14,0.11,3,365,0,Exempt,41.4213,2.2024
Rental unit in Barcelona,4.89,2 baths,3 beds,3 bedrooms,131794,Damien,Eixample,la Dreta de l'Eixample,Entire home/apt,148.0,1,174,2023-12-09,2.3,23,347,62,HUTB-006793,41.3951,2.1693
Rental unit in Barcelona,4.45,2 baths,4 beds,2 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,185.0,1,22,2023-11-13,0.32,35,272,5,HUTB-000288,41.4057,2.2152
Rental unit in Barcelona,4.61,3 baths,7 beds,4 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,384.0,1,71,2023-10-31,0.93,35,242,20,HUTB-001754,41.4071,2.2134
Rental unit in Barcelona,4.64,2 baths,3 beds,2 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,211.0,1,66,2023-10-23,0.89,35,254,23,HUTB-000280,41.4047,2.2153
Rental unit in Barcelona,4.63,3 baths,8 beds,4 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,384.0,1,59,2023-11-26,0.76,35,242,25,HUTB-001755,41.4071,2.2134
Rental unit in Barcelona,4.63,2 baths,9 beds,4 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,365.0,1,78,2023-11-26,1.15,35,262,27,HUTB-002251,41.3883,2.1706
Rental unit in Barcelona,,,1 bed,2 bedrooms,17405445,Òscar,Gràcia,la Vila de Gràcia,Private room,,3,2,2017-08-20,0.03,1,0,0,,41.4085,2.1578
Rental unit in Barcelona,4.60,2 baths,7 beds,4 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,299.0,1,39,2023-11-05,0.52,35,0,17,HUTB-000291,41.4057,2.2152
Rental unit in Barcelona,4.74,1 bath,4 beds,2 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,226.0,1,77,2023-11-19,1.24,35,237,33,HUTB-002258,41.3883,2.1706
Rental unit in Barcelona,4.71,2 baths,6 beds,3 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,244.0,1,21,2023-11-22,0.31,35,260,14,HUTB-000928,41.4092,2.2152
Rental unit in Barcelona,4.63,1 bath,3 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,187.0,1,16,2023-10-30,0.27,35,259,3,HUTB-003295,41.3878,2.168
Rental unit in Barcelona,4.22,2 baths,6 beds,3 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,283.0,1,27,2023-11-22,0.36,35,266,15,HUTB-005168,41.4036,2.2133
Rental unit in Barcelona,4.55,1 bath,4 beds,2 bedrooms,128959838,Jordi,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,168.0,1,31,2023-10-24,0.44,35,266,12,HUTB-000925,41.4083,2.2162
Rental unit in Barcelona,4.82,2 baths,6 beds,3 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,248.0,1,22,2023-11-13,0.34,35,249,8,HUTB-003320,41.3879,2.168
Rental unit in Barcelona,4.69,2 baths,6 beds,3 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,248.0,1,85,2023-11-21,1.19,35,241,19,HUTB-003319,41.3879,2.168
Rental unit in Sant Adria de Besos,4.52,2 baths,6 beds,3 bedrooms,128959838,Jordi,Sant Martí,el Besòs i el Maresme,Entire home/apt,274.0,1,42,2023-11-19,0.57,35,258,8,HUTB-006996,41.4123,2.2203
Rental unit in Barcelona,4.79,2 baths,6 beds,3 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,255.0,1,73,2023-11-19,1.17,35,249,40,HUTB-003322,41.3879,2.168
Rental unit in Barcelona,4.72,1 bath,2 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,158.0,1,38,2023-09-22,0.76,35,0,13,HUTB-003318,41.3881,2.1679
Rental unit in Barcelona,4.80,2 baths,4 beds,2 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,211.0,1,45,2023-11-22,0.67,35,262,28,HUTB-003321,41.3879,2.168
Rental unit in Barcelona,4.75,1 bath,3 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,171.0,1,63,2023-11-06,0.91,35,260,26,HUTB-007461,41.3879,2.1682
Rental unit in Barcelona,4.78,2 baths,4 beds,2 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,211.0,1,69,2023-11-14,0.93,35,252,27,HUTB-013252,41.388,2.1679
Rental unit in Barcelona,4.62,1 bath,2 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,158.0,1,26,2023-11-01,0.39,35,251,16,HUTB-007285,41.388,2.168
Rental unit in Barcelona,4.81,2 baths,6 beds,3 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,248.0,1,31,2023-11-25,0.56,35,256,17,HUTB-004721,41.3879,2.1678
Rental unit in Barcelona,4.74,1 bath,4 beds,2 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,210.0,1,43,2023-11-10,0.64,35,257,17,HUTB-007457,41.3879,2.1682
Rental unit in Barcelona,4.52,2 baths,6 beds,3 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,248.0,1,73,2023-10-22,0.94,35,259,12,HUTB-004713,41.3879,2.1678
Rental unit in Barcelona,4.79,2 baths,4 beds,2 bedrooms,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,211.0,1,38,2023-11-29,0.55,35,254,23,HUTB-004719,41.3879,2.1678
Rental unit in Barcelona,4.61,1 bath,3 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,157.0,1,44,2023-11-24,0.66,35,270,19,HUTB-011042,41.3879,2.168
Rental unit in Barcelona,4.14,1 shared bath,1 bed,1 bedroom,133290536,Esther,Sant Andreu,el Congrés i els Indians,Private room,,2,28,2019-08-30,0.36,1,0,0,,41.4227,2.1803
Rental unit in Barcelona,4.80,1 bath,3 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,187.0,1,79,2023-11-22,1.13,35,270,37,HUTB-007456,41.3879,2.1681
Rental unit in Barcelona,4.81,1 bath,3 beds,1 bedroom,128959838,Jordi,Eixample,la Dreta de l'Eixample,Entire home/apt,171.0,1,48,2023-11-20,0.88,35,276,27,HUTB-007459,41.3879,2.1682
Rental unit in Barcelona,4.95,1 bath,1 bed,1 bedroom,122956090,Mario,Ciutat Vella,el Raval,Entire home/apt,46.0,31,19,2023-11-24,0.32,2,108,5,,41.384,2.1708
Rental unit in Barcelona,,,1 bed,1 bedroom,2509155,Natasha,Eixample,la Nova Esquerra de l'Eixample,Private room,130.0,3,1,2023-04-30,0.13,3,101,1,,41.3777,2.1519
Rental unit in Barcelona,,,1 bed,1 bedroom,118316681,Pedro,Ciutat Vella,el Raval,Private room,,2,0,,,1,0,0,,41.3794,2.1698
Rental unit in Barcelona,4.76,1.5 baths,5 beds,2 bedrooms,129749776,Martin,Sant Martí,el Besòs i el Maresme,Entire home/apt,32.0,4,25,2023-12-04,0.32,1,347,19,,41.4131,2.2208
Rental unit in Barcelona,5.0,1 shared bath,1 bed,1 bedroom,41361513,Alessandro,Sant Martí,el Poblenou,Private room,,1,4,2017-07-22,0.05,1,0,0,,41.3992,2.1981
Rental unit in Barcelona,4.91,1 shared bath,1 bed,2 bedrooms,126887819,Alicia,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Private room,,1,11,2018-01-02,0.14,2,0,0,,41.4094,2.213
Rental unit in Barcelona,,,1 bed,1 bedroom,133534312,Stephanie,Gràcia,el Camp d'en Grassot i Gràcia Nova,Private room,,2,2,2017-07-23,0.03,1,0,0,,41.404,2.1674
Rental unit in Barcelona,4.80,1 bath,4 beds,2 bedrooms,130878430,Apartments Freser 78,Sant Martí,el Camp de l'Arpa del Clot,Entire home/apt,122.0,28,44,2023-11-27,0.56,10,90,6,HUTB-000254,41.4118,2.1805
Guest suite in Barcelona,4.54,1 bath,1 bed,1 bedroom,40101313,Xavi,Horta-Guinardó,Horta,Entire home/apt,35.0,32,24,2023-08-25,0.31,2,143,2,Exempt,41.4264,2.1582
Rental unit in Barcelona,4.74,1 bath,3 beds,3 bedrooms,3744544,Marta+Paul,Les Corts,les Corts,Entire home/apt,80.0,3,128,2023-11-12,1.61,35,0,35,HUTB-004198,41.3832,2.1388
Rental unit in Barcelona,,,1 bed,1 bedroom,52051957,Susana,Gràcia,la Vila de Gràcia,Entire home/apt,70.0,32,0,,,1,335,0,Exempt,41.3986,2.1609
Rental unit in Barcelona,4.45,1 shared bath,1 bed,3 bedrooms,79228669,Chloe,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,,3,11,2017-08-21,0.14,2,0,0,,41.3904,2.188
Rental unit in Barcelona,5.0,1 bath,1 bed,1 bedroom,7039660,Hans,Ciutat Vella,la Barceloneta,Entire home/apt,94.0,32,6,2022-11-01,0.08,1,68,0,,41.378,2.1918
