COD-CCAA,CCAA
4,Andalucía
5,Aragón
8742,Canarias
6,Cantabria
7,Castilla - La Mancha
8,Castilla y León
9,Cataluña
13,Comunidad de Madrid
14,Comunidad Foral de Navarra
15,Comunitat Valenciana
16,Extremadura
17,Galicia
8743,Illes Balears
20,La Rioja
8745,Melilla
10,País Vasco
11,Principado de Asturias
21,Región de Murcia
