Ramas de actividad,Año,Total,Código
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3069858,9
- De las cuales: Industria manufacturera,2021,2524749,9
- De las cuales: Industria manufacturera,2020,2158189,9
- De las cuales: Industria manufacturera,2019,2294659,9
Construcción,2021,527010,9
Construcción,2020,560582,9
Construcción,2019,642790,9
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1630774,9
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1390971,9
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1733220,9
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1738882,9
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1678852,9
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1715185,9
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,1914522,9
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,1920724,9
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2025682,9
añadido bruto total,2021,9297731,9
añadido bruto total,2020,8733472,9
añadido bruto total,2019,9610498,9
netos sobre los productos,2021,978973,9
netos sobre los productos,2020,837556,9
netos sobre los productos,2019,985995,9
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704,9
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9571028,9
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10596493,9
"Agricultura, ganadería, silvicultura y pesca",2021,539289,10
"Agricultura, ganadería, silvicultura y pesca",2020,384965,10
"Agricultura, ganadería, silvicultura y pesca",2019,549609,10
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1314786,10
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1044502,10
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1131335,10
- De las cuales: Industria manufacturera,2021,304861,10
- De las cuales: Industria manufacturera,2020,290796,10
- De las cuales: Industria manufacturera,2019,319407,10
Construcción,2021,595778,10
Construcción,2020,579651,10
Construcción,2019,676716,10
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1230075,10
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1081047,10
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1341820,10
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1393426,10
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1362215,10
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1374099,10
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2098080,10
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2119364,10
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2171468,10
añadido bruto total,2021,7171434,10
añadido bruto total,2020,6571744,10
añadido bruto total,2019,7245047,10
netos sobre los productos,2021,755092,10
netos sobre los productos,2020,630242,10
netos sobre los productos,2019,743310,10
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526,10
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7201986,10
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7988357,10
"Agricultura, ganadería, silvicultura y pesca",2021,590182,11
"Agricultura, ganadería, silvicultura y pesca",2020,517282,11
"Agricultura, ganadería, silvicultura y pesca",2019,652209,11
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2965350,11
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2230039,11
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3068425,11
- De las cuales: Industria manufacturera,2021,1903996,11
- De las cuales: Industria manufacturera,2020,1325381,11
- De las cuales: Industria manufacturera,2019,2016715,11
Construcción,2021,1228858,11
Construcción,2020,1285220,11
Construcción,2019,1519941,11
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4713925,11
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3915656,11
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4931412,11
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,4743273,11
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4504009,11
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,4618525,11
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6237843,11
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6029118,11
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6208929,11
añadido bruto total,2021,20479431,11
añadido bruto total,2020,18481324,11
añadido bruto total,2019,20999441,11
netos sobre los productos,2021,2156311,11
netos sobre los productos,2020,1772393,11
netos sobre los productos,2019,2154451,11
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22635742,11
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20253717,11
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23153892,11
"Agricultura, ganadería, silvicultura y pesca",2021,185011,39
"Agricultura, ganadería, silvicultura y pesca",2020,155059,39
"Agricultura, ganadería, silvicultura y pesca",2019,153770,39
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2834352,39
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2479943,39
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,2671327,39
- De las cuales: Industria manufacturera,2021,2264179,39
- De las cuales: Industria manufacturera,2020,2001452,39
- De las cuales: Industria manufacturera,2019,2188319,39
Construcción,2021,824530,39
Construcción,2020,810175,39
Construcción,2019,929138,39
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2693982,39
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2319072,39
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2921214,39
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,3078541,39
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2940643,39
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2967918,39
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3069890,39
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3022731,39
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3217884,39
añadido bruto total,2021,12686306,39
añadido bruto total,2020,11727623,39
añadido bruto total,2019,12861251,39
netos sobre los productos,2021,1335761,39
netos sobre los productos,2020,1124700,39
netos sobre los productos,2019,1319508,39
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14022067,39
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12852323,39
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14180759,39
"Agricultura, ganadería, silvicultura y pesca",2021,429078,12
"Agricultura, ganadería, silvicultura y pesca",2020,394736,12
"Agricultura, ganadería, silvicultura y pesca",2019,366391,12
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,5233733,12
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,4312375,12
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4928270,12
- De las cuales: Industria manufacturera,2021,4811949,12
- De las cuales: Industria manufacturera,2020,3975218,12
- De las cuales: Industria manufacturera,2019,4574401,12
Construcción,2021,758542,12
Construcción,2020,749752,12
Construcción,2019,889592,12
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2930316,12
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2492836,12
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,3183379,12
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2748923,12
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2600229,12
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2651625,12
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2508262,12
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2431729,12
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2566816,12
añadido bruto total,2021,14608854,12
añadido bruto total,2020,12981657,12
añadido bruto total,2019,14586073,12
netos sobre los productos,2021,1538189,12
netos sobre los productos,2020,1244964,12
netos sobre los productos,2019,1496468,12
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16147043,12
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14226621,12
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,16082541,12
"Agricultura, ganadería, silvicultura y pesca",2021,962771,13
"Agricultura, ganadería, silvicultura y pesca",2020,1067394,13
"Agricultura, ganadería, silvicultura y pesca",2019,868740,13
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1830190,13
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1425229,13
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1844805,13
- De las cuales: Industria manufacturera,2021,1547223,13
- De las cuales: Industria manufacturera,2020,1184306,13
- De las cuales: Industria manufacturera,2019,1589514,13
Construcción,2021,660968,13
Construcción,2020,635088,13
Construcción,2019,697770,13
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2003563,13
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1764264,13
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2097107,13
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1715384,13
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1655507,13
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1669390,13
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2628011,13
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2573562,13
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2589507,13
añadido bruto total,2021,9800887,13
añadido bruto total,2020,9121044,13
añadido bruto total,2019,9767319,13
netos sobre los productos,2021,1031951,13
netos sobre los productos,2020,874725,13
netos sobre los productos,2019,1002084,13
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10832838,13
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9995769,13
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10769403,13
"Agricultura, ganadería, silvicultura y pesca",2021,1495086,14
"Agricultura, ganadería, silvicultura y pesca",2020,1135706,14
"Agricultura, ganadería, silvicultura y pesca",2019,851623,14
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1519904,14
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1269133,14
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1391994,14
- De las cuales: Industria manufacturera,2021,1230162,14
- De las cuales: Industria manufacturera,2020,1011867,14
- De las cuales: Industria manufacturera,2019,1051099,14
Construcción,2021,780631,14
Construcción,2020,689441,14
Construcción,2019,789781,14
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2674401,14
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2262007,14
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,3046711,14
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2786778,14
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2665513,14
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2738673,14
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3966979,14
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3847235,14
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3989016,14
añadido bruto total,2021,13223779,14
añadido bruto total,2020,11869035,14
añadido bruto total,2019,12807798,14
netos sobre los productos,2021,1392352,14
netos sobre los productos,2020,1138262,14
netos sobre los productos,2019,1314024,14
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14616131,14
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13007297,14
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14121822,14
"Agricultura, ganadería, silvicultura y pesca",2021,971640,15
"Agricultura, ganadería, silvicultura y pesca",2020,908992,15
"Agricultura, ganadería, silvicultura y pesca",2019,963008,15
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3953030,15
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3628728,15
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4181304,15
- De las cuales: Industria manufacturera,2021,2597552,15
- De las cuales: Industria manufacturera,2020,2355242,15
- De las cuales: Industria manufacturera,2019,2912326,15
Construcción,2021,1762785,15
Construcción,2020,1716942,15
Construcción,2019,1887684,15
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,6169564,15
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,5397387,15
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,6485156,15
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5622858,15
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,5371364,15
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5434532,15
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6262883,15
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6118677,15
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6187238,15
añadido bruto total,2021,24742760,15
añadido bruto total,2020,23142090,15
añadido bruto total,2019,25138922,15
netos sobre los productos,2021,2605205,15
netos sobre los productos,2020,2219368,15
netos sobre los productos,2019,2579144,15
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27347965,15
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25361458,15
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,27718066,15
"Agricultura, ganadería, silvicultura y pesca",2021,757799,16
"Agricultura, ganadería, silvicultura y pesca",2020,695451,16
"Agricultura, ganadería, silvicultura y pesca",2019,695787,16
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,513832,16
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,433609,16
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,471007,16
- De las cuales: Industria manufacturera,2021,288247,16
- De las cuales: Industria manufacturera,2020,254710,16
- De las cuales: Industria manufacturera,2019,272495,16
Construcción,2021,273704,16
Construcción,2020,252164,16
Construcción,2019,276267,16
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,987352,16
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,898560,16
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1063817,16
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,671677,16
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,645053,16
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,655596,16
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,952006,16
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,903256,16
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,932880,16
añadido bruto total,2021,4156370,16
añadido bruto total,2020,3828093,16
añadido bruto total,2019,4095354,16
netos sobre los productos,2021,437631,16
netos sobre los productos,2020,367121,16
netos sobre los productos,2019,420166,16
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4594001,16
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4195214,16
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4515520,16
"Agricultura, ganadería, silvicultura y pesca",2021,91933,20
"Agricultura, ganadería, silvicultura y pesca",2020,96251,20
"Agricultura, ganadería, silvicultura y pesca",2019,119345,20
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,5921660,20
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,5176787,20
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,5707550,20
- De las cuales: Industria manufacturera,2021,5534807,20
- De las cuales: Industria manufacturera,2020,4897711,20
- De las cuales: Industria manufacturera,2019,5470374,20
Construcción,2021,1186543,20
Construcción,2020,1160660,20
Construcción,2019,1497326,20
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4963137,20
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4277263,20
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5254022,20
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,4743611,20
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4586643,20
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,4677171,20
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,4661181,20
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,4626774,20
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,4959233,20
añadido bruto total,2021,21568065,20
añadido bruto total,2020,19924378,20
añadido bruto total,2019,22214647,20
netos sobre los productos,2021,2270935,20
netos sobre los productos,2020,1910784,20
netos sobre los productos,2019,2279126,20
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23839000,20
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21835162,20
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24493773,20
"Agricultura, ganadería, silvicultura y pesca",2021,504047,17
"Agricultura, ganadería, silvicultura y pesca",2020,587367,17
"Agricultura, ganadería, silvicultura y pesca",2019,631719,17
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2877101,17
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2471563,17
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,2455373,17
- De las cuales: Industria manufacturera,2021,2443136,17
- De las cuales: Industria manufacturera,2020,2089661,17
- De las cuales: Industria manufacturera,2019,2079978,17
Construcción,2021,1382527,17
Construcción,2020,1333140,17
Construcción,2019,1477548,17
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,5538267,17
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4718878,17
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,6238839,17
