Energía (MWh),Porcentage de Generación Renovable,COD-CCAA,Año,Mes,Tipo de energía
35682.265,0.0336850710727819,4,2021,1,1
46985.569,0.039438505888221,4,2021,2,1
45394.407,0.0342776262243994,4,2021,3,1
39624.225,0.0317021674067288,4,2021,4,1
66090.316,0.0407400932625843,4,2021,5,1
63825.421,0.0427894525111619,4,2021,6,1
69788.766,0.0404834172567749,4,2021,7,1
56318.901,0.0414284144296394,4,2021,8,1
28124.341,0.0234195263739345,4,2021,9,1
14829.391,0.0110186383344476,4,2021,10,1
11331.529,0.0102916247731219,4,2021,11,1
15024.074,0.0111315517768114,4,2021,12,1
605060.374,0.5711941689103546,4,2021,1,2
721153.394,0.6053180365992709,4,2021,2,2
604386.731,0.4563765412819397,4,2021,3,2
565654.657,0.4525635171567333,4,2021,4,2
592828.424,0.3654375821485086,4,2021,5,2
456862.149,0.3062867572590376,4,2021,6,2
601270.327,0.3487879056646237,4,2021,7,2
380676.358,0.2800270893565516,4,2021,8,2
425373.223,0.3542141454910543,4,2021,9,2
646288.366,0.4802097243720358,4,2021,10,2
532630.675,0.4837506968172327,4,2021,11,2
847548.65,0.6279609432728861,4,2021,12,2
213710.908,0.2017491637654943,4,2021,1,3
231989.192,0.1947258979601936,4,2021,2,3
408278.78,0.3082940904194172,4,2021,3,3
402297.899,0.3218666192581249,4,2021,4,3
556125.915,0.342813032439428,4,2021,5,3
561098.376,0.3761681777851818,4,2021,6,3
591088.049,0.3428813187950625,4,2021,7,3
528290.277,0.3886124932499128,4,2021,8,3
432330.446,0.3600075209709578,4,2021,9,3
405044.314,0.3009588731857202,4,2021,10,3
325035.538,0.2952067452702834,4,2021,11,3
260350.973,0.1928977676822371,4,2021,12,3
53930.207,0.0509116463252779,4,2021,1,4
62025.987,0.0520630547971488,4,2021,2,4
158688.61,0.1198268513486584,4,2021,3,4
111872.759,0.0895060770039193,4,2021,4,4
281104.125,0.1732811849318009,4,2021,5,4
283610.94,0.1901367301404246,4,2021,6,4
336868.959,0.1954126345786426,4,2021,7,4
259564.706,0.1909368617025306,4,2021,8,4
194498.853,0.1619618755701159,4,2021,9,4
140754.854,0.104584660964431,4,2021,10,4
76784.57,0.0697379835329829,4,2021,11,4
56211.258,0.0416477267661691,4,2021,12,4
150906.426,0.142459949926091,4,2021,1,5
129208.663,0.1084545047551656,4,2021,2,5
107567.418,0.0812248907255852,4,2021,3,5
130440.554,0.1043616191744935,4,2021,4,5
126093.849,0.0777281072176781,4,2021,5,5
126218.857,0.084618882304194,4,2021,6,5
124869.152,0.0724347237048961,4,2021,7,5
134576.658,0.0989951412613653,4,2021,8,5
120565.954,0.1003969315939375,4,2021,9,5
138929.136,0.1032281031433653,4,2021,10,5
155261.425,0.1410129496063787,4,2021,11,5
170548.746,0.1263620105018961,4,2021,12,5
131495.03,0.1496412995480898,5,2019,1,1
221430.474,0.3891233291056643,5,2019,2,1
200132.786,0.2812927029106596,5,2019,3,1
178686.785,0.2916103374694053,5,2019,4,1
302077.376,0.3130918635375393,5,2019,5,1
266470.668,0.4076342459489652,5,2019,6,1
199161.329,0.3230495026572063,5,2019,7,1
156725.948,0.3430474067438626,5,2019,8,1
103073.651,0.2063500669408778,5,2019,9,1
130416.331,0.2526682499426283,5,2019,10,1
243630.788,0.2861116605609765,5,2019,11,1
413610.263,0.4299276935381387,5,2019,12,1
726757.534,0.8270498272377678,5,2019,1,2
318790.942,0.5602164435585806,5,2019,2,2
473986.275,0.6662020906324925,5,2019,3,2
402582.527,0.6570000493195733,5,2019,4,2
621420.445,0.6440789699039791,5,2019,5,2
347042.749,0.5308896110872173,5,2019,6,2
377958.303,0.6130670166863151,5,2019,7,2
263386.659,0.5765102173181944,5,2019,8,2
364672.339,0.7300620559577976,5,2019,9,2
359265.976,0.6960409384607692,5,2019,10,2
588284.062,0.690860671765247,5,2019,11,2
516315.277,0.536684545903338,5,2019,12,2
15605.837,0.0177594372138297,5,2019,1,3
23485.877,0.0412721089383846,5,2019,2,3
31154.675,0.0437888409700805,5,2019,3,3
25724.805,0.0419819466077731,5,2019,4,3
35460.804,0.0367537925345969,5,2019,5,3
34797.633,0.0532317759220081,5,2019,6,3
34472.594,0.0559162484148908,5,2019,7,3
32966.806,0.0721589338028952,5,2019,8,3
28060.968,0.0561771371155352,5,2019,9,3
22121.294,0.0428577356730451,5,2019,10,3
15347.695,0.0180238078211748,5,2019,11,3
28925.543,0.0300666910345216,5,2019,12,3
4876.483,0.0055494360003124,5,2019,1,5
5342.305,0.0093881183973703,5,2019,2,5
6201.478,0.0087163654867673,5,2019,3,5
5764.63,0.009407666603248,5,2019,4,5
5861.644,0.0060753740238846,5,2019,5,5
5389.346,0.0082443670418091,5,2019,6,5
4911.831,0.0079672322415876,5,2019,7,5
3784.405,0.0082834421350477,5,2019,8,5
3701.729,0.0074107399857892,5,2019,9,5
4352.786,0.0084330759235572,5,2019,10,5
4260.904,0.0050038598526016,5,2019,11,5
3195.022,0.0033210695240016,5,2019,12,5
287280.183,0.396470127187337,5,2020,1,1
269668.184,0.3412765928797077,5,2020,2,1
411437.656,0.3442532971621774,5,2020,3,1
420455.39,0.423757374842193,5,2020,4,1
458389.649,0.4007111645611421,5,2020,5,1
326459.216,0.3289340430454505,5,2020,6,1
257572.389,0.2180961364237858,5,2020,7,1
209517.142,0.1954211823050279,5,2020,8,1
150212.625,0.1586009137710991,5,2020,9,1
240267.683,0.1989560177675142,5,2020,10,1
202285.404,0.2706733157928651,5,2020,11,1
233144.363,0.1740433584311591,5,2020,12,1
394171.704,0.543989160639491,5,2020,1,2
425887.595,0.5389789229690248,5,2020,2,2
668910.602,0.5596830452612656,5,2020,3,2
438322.747,0.44176505051425,5,2020,4,2
497416.938,0.4348277081152359,5,2020,5,2
464523.454,0.4680449205442475,5,2020,6,2
702703.285,0.5950050473414775,5,2020,7,2
668388.852,0.6234207781306044,5,2020,8,2
638260.961,0.6739032197794286,5,2020,9,2
858017.434,0.7104897742063004,5,2020,10,2
495030.509,0.6623886184574135,5,2020,11,2
1062711.647,0.7933192195077368,5,2020,12,2
38977.426,0.0537920328589285,5,2020,1,3
90623.606,0.1146880400624236,5,2020,2,3
110752.033,0.0926671440293843,5,2020,3,3
130256.844,0.1312797970521178,5,2020,4,3
184508.348,0.1612919383315579,5,2020,5,3
197867.205,0.1993671997507736,5,2020,6,3
216928.639,0.1836815593055286,5,2020,7,3
190992.433,0.1781427844609193,5,2020,8,3
155115.966,0.1637780709050703,5,2020,9,3
105574.1,0.0874216717501259,5,2020,10,3
46269.485,0.0619121037767916,5,2020,11,3
41018.534,0.0306205276568607,5,2020,12,3
4165.463,0.0057486793142433,5,2020,1,5
3995.475,0.0050564440888438,5,2020,2,5
4059.376,0.0033965135471727,5,2020,3,5
3172.86,0.0031977775914391,5,2020,4,5
3625.363,0.0031691889920639,5,2020,5,5
3626.346,0.0036538366595283,5,2020,6,5
3799.593,0.0032172569292078,5,2020,7,5
3232.749,0.0030152551034482,5,2020,8,5
3521.164,0.0037177955444018,5,2020,9,5
3782.983,0.0031325362760592,5,2020,10,5
3756.11,0.0050259619729297,5,2020,11,5
2701.784,0.0020168944042433,5,2020,12,5
227814.858,0.1428110905827463,5,2021,1,1
306758.08,0.2551748716454709,5,2021,2,1
270285.922,0.1748944497462072,5,2021,3,1
235923.132,0.197342086979294,5,2021,4,1
289607.81,0.2242737190020948,5,2021,5,1
275771.771,0.2540784589297809,5,2021,6,1
226436.584,0.1665733081183365,5,2021,7,1
178880.721,0.1563856132445995,5,2021,8,1
122543.897,0.1527898265160605,5,2021,9,1
111800.572,0.1194348984851288,5,2021,10,1
102818.548,0.062268645580299,5,2021,11,1
300180.331,0.2259334900227299,5,2021,12,1
1308593.598,0.820322609774556,5,2021,1,2
830282.066,0.6906651639659709,5,2021,2,2
1141945.948,0.7389212384334652,5,2021,3,2
773997.346,0.6474238040213656,5,2021,4,2
738724.988,0.5720722807114141,5,2021,5,2
577510.594,0.5320812975420257,5,2021,6,2
868237.682,0.6387007804522271,5,2021,7,2
724809.078,0.6336608635889988,5,2021,8,2
498674.278,0.6217556181001959,5,2021,9,2
657321.514,0.7022068571946231,5,2021,10,2
1431317.856,0.8668302171318106,5,2021,11,2
959606.523,0.7222566850656418,5,2021,12,2
54540.025,0.0341896947329934,5,2021,1,3
62253.228,0.0517849748714564,5,2021,2,3
129577.571,0.0838460168839096,5,2021,3,3
181407.039,0.1517411343496159,5,2021,4,3
258720.47,0.2003544102932511,5,2021,5,3
228310.004,0.2103502246231436,5,2021,6,3
260014.917,0.1912745022014847,5,2021,7,3
235912.585,0.2062454470839465,5,2021,8,3
176600.248,0.2201882094104879,5,2021,9,3
162376.008,0.1734638891820738,5,2021,10,3
112936.043,0.0683959710733165,5,2021,11,3
64895.141,0.0488439253924573,5,2021,12,3
4269.769,0.0026766049097043,5,2021,1,5
2855.09,0.0023749895171017,5,2021,2,5
3613.655,0.0023382949364178,5,2021,3,5
4175.863,0.0034929746497245,5,2021,4,5
4260.807,0.00329958999324,5,2021,5,5
3787.998,0.0034900189050499,5,2021,6,5
4691.78,0.0034514092279516,5,2021,7,5
4241.46,0.0037080760824551,5,2021,8,5
4223.832,0.0052663459732554,5,2021,9,5
4581.506,0.0048943551381741,5,2021,10,5
4136.553,0.0025051662145736,5,2021,11,5
3940.561,0.0029658995191708,5,2021,12,5
292.916,0.0038550933128392,8742,2019,1,1
265.049,0.0036896073690305,8742,2019,2,1
298.315,0.0023879592134661,8742,2019,3,1
296.753,0.0031426768823371,8742,2019,4,1
305.942,0.0023869668871014,8742,2019,5,1
276.681,0.0027622148897979,8742,2019,6,1
298.419,0.0015482570892157,8742,2019,7,1
299.29,0.0015692048407722,8742,2019,8,1
282.539,0.002225773690307,8742,2019,9,1
297.947,0.0026467071109852,8742,2019,10,1
296.523,0.0020212009648499,8742,2019,11,1
299.145,0.0033851593311306,8742,2019,12,1
1109.656,0.0146042804939024,8742,2019,1,6
972.545,0.0135382861233726,8742,2019,2,6
1955.158,0.0156506966122454,8742,2019,3,6
1548.369,0.0163975544025757,8742,2019,4,6
2031.012,0.0158460047698767,8742,2019,5,6
1372.141,0.0136986215211822,8742,2019,6,6
3727.338,0.0193381704328588,8742,2019,7,6
3475.119,0.0182203667247809,8742,2019,8,6
2218.351,0.0174756309453434,8742,2019,9,6
1582.837,0.0140605743418478,8742,2019,10,6
2096.522,0.0142906023790028,8742,2019,11,6
1159.67,0.0131229595063675,8742,2019,12,6
55716.046,0.7332837958747331,8742,2019,1,2
48413.317,0.6739362576822044,8742,2019,2,2
96842.352,0.7752060295731996,8742,2019,3,2
67113.055,0.710741412728851,8742,2019,4,2
95432.451,0.7445662919505284,8742,2019,5,2
74330.709,0.7420726076927465,8742,2019,6,2
158185.457,0.8206975936890252,8742,2019,7,2
158502.759,0.8310444608859636,8742,2019,8,2
100474.589,0.7915144342572787,8742,2019,9,2
89263.401,0.7929399462905367,8742,2019,10,2
125116.103,0.8528336355084091,8742,2019,11,2
68726.336,0.777715146851266,8742,2019,12,2
17899.612,0.2355783723784872,8742,2019,1,3
21362.932,0.2973821117276349,8742,2019,2,3
24927.767,0.1995423994059523,8742,2019,3,3
24572.315,0.2602260003976624,8742,2019,4,3
29457.906,0.2298312954264081,8742,2019,5,3
23363.525,0.2332472292393266,8742,2019,6,3
29616.449,0.153656024320325,8742,2019,7,3
27737.331,0.1454293630769577,8742,2019,8,3
23527.582,0.1853445825607879,8742,2019,9,3
20851.228,0.1852245312769534,8742,2019,10,3
18324.16,0.1249036664004614,8742,2019,11,3
17279.291,0.195534450396872,8742,2019,12,3
963.329,0.0126784579400377,8742,2019,1,5
822.798,0.0114537370977576,8742,2019,2,5
901.071,0.0072129151951364,8742,2019,3,5
896.333,0.0094923555885734,8742,2019,4,5
944.555,0.0073694409660853,8742,2019,5,5
823.3,0.0082193266569465,8742,2019,6,5
917.458,0.0047599544685751,8742,2019,7,5
712.672,0.0037366044715254,8742,2019,8,5
436.619,0.0034395785462827,8742,2019,9,5
577.3,0.0051282409796768,8742,2019,10,5
873.034,0.0059508947472768,8742,2019,11,5
905.106,0.0102422839143638,8742,2019,12,5
304.314,0.0037711831167822,8742,2020,1,1
267.69,0.0023103506479481,8742,2020,2,1
299.312,0.0024675572919017,8742,2020,3,1
288.387,0.0036276314045125,8742,2020,4,1
288.463,0.0029365972584564,8742,2020,5,1
272.333,0.0021125372737554,8742,2020,6,1
290.301,0.0016135939939915,8742,2020,7,1
294.139,0.0014881731697493,8742,2020,8,1
291.651,0.0025005625067449,8742,2020,9,1
299.756,0.0024774196500249,8742,2020,10,1
285.276,0.0039083688916819,8742,2020,11,1
299.581,0.003795017160874,8742,2020,12,1
824.55,0.010218159660557,8742,2020,1,6
1338.515,0.011552314234892,8742,2020,2,6
1823.614,0.0150340515024925,8742,2020,3,6
991.125,0.0124674003190069,8742,2020,4,6
1442.708,0.0146869870921166,8742,2020,5,6
742.628,0.0057607022672038,8742,2020,6,6
3652.422,0.0203014326603161,8742,2020,7,6
3575.741,0.0180911807620639,8742,2020,8,6
1911.898,0.016392264917729,8742,2020,9,6
1456.723,0.0120395060810901,8742,2020,10,6
821.801,0.0112589263154038,8742,2020,11,6
958.502,0.012142063544524,8742,2020,12,6
60189.521,0.7458930755811698,8742,2020,1,2
93155.251,0.8039945254122992,8742,2020,2,2
97166.353,0.8010488816774654,8742,2020,3,2
54728.521,0.6884322160919951,8742,2020,4,2
69749.659,0.710062147997058,8742,2020,5,2
103362.193,0.801799581430092,8742,2020,6,2
148258.526,0.8240724872171753,8742,2020,7,2
166390.161,0.8418379518203133,8742,2020,8,2
92772.315,0.7954129166467075,8742,2020,9,2
98440.837,0.8135926018118099,8742,2020,10,2
54913.391,0.7523303366605306,8742,2020,11,2
61422.595,0.7780860671752025,8742,2020,12,2
18499.905,0.2292583627374183,8742,2020,1,3
20258.367,0.1748437794643823,8742,2020,2,3
21187.944,0.1746754748142575,8742,2020,3,3
22649.498,0.284908925302608,8742,2020,4,3
26043.626,0.2651280778188755,8742,2020,5,3
23750.543,0.1842373394316179,8742,2020,6,3
27014.46,0.1501557707583636,8742,2020,7,3
26700.038,0.1350867453241092,8742,2020,8,3
21008.713,0.1801248754256439,8742,2020,9,3
20015.422,0.1654232100986843,8742,2020,10,3
16227.492,0.2223216286081488,8742,2020,11,3
15507.413,0.1964440283454583,8742,2020,12,3
876.28,0.0108592189040724,8742,2020,1,5
845.706,0.0072990302404781,8742,2020,2,5
821.683,0.0067740347138827,8742,2020,3,5
839.796,0.0105638268818774,8742,2020,4,5
705.902,0.0071861898334932,8742,2020,5,5
785.058,0.0060898395973307,8742,2020,6,5
693.86,0.0038567153701535,8742,2020,7,5
690.978,0.0034959489237641,8742,2020,8,5
649.58,0.0055693805031745,8742,2020,9,5
782.508,0.0064672623583905,8742,2020,10,5
743.103,0.0101807395242346,8742,2020,11,5
752.527,0.009532823773941,8742,2020,12,5
297.621,0.0029764333813252,8742,2021,1,1
258.53,0.0032726818989524,8742,2021,2,1
282.265,0.0025116335173575,8742,2021,3,1
137.806,0.0017783751665186,8742,2021,4,1
267.836,0.0013666411715363,8742,2021,5,1
282.177,0.0015749891167865,8742,2021,6,1
289.726,0.0014872303651286,8742,2021,7,1
280.659,0.0015767635572766,8742,2021,8,1
277.52,0.002108457225392,8742,2021,9,1
282.507,0.0019355114658262,8742,2021,10,1
231.258,0.0021229930090537,8742,2021,11,1
155.36,0.0013871829244353,8742,2021,12,1
993.17,0.0099324454300295,8742,2021,1,6
1226.483,0.0155258140775653,8742,2021,2,6
1921.443,0.0170972690219901,8742,2021,3,6
835.908,0.0107873244176178,8742,2021,4,6
3227.077,0.0164662565596783,8742,2021,5,6
3002.042,0.0167560909575764,8742,2021,6,6
3578.218,0.0183678180855355,8742,2021,7,6
2663.478,0.0149636214980033,8742,2021,8,6
1429.314,0.0108592080954668,8742,2021,9,6
1853.455,0.0126983876643517,8742,2021,10,6
1139.79,0.0104634918653164,8742,2021,11,6
1227.861,0.010963361307802,8742,2021,12,6
81695.52,0.8170165170896077,8742,2021,1,2
58777.922,0.7440584898752249,8742,2021,2,2
