Año,Total,Código Provincia,ID_Grupo_Edad,Id_Nacional_Extranjero,ID_Sexo
2019,42915,05,2,1,2
2021,3792,05,2,2,1
2020,3807,05,2,2,1
2019,3423,05,2,2,1
2021,4142,05,2,2,2
2020,4145,05,2,2,2
2019,3798,05,2,2,2
2021,18938,05,3,1,1
2020,18774,05,3,1,1
2019,18700,05,3,1,1
2021,21872,05,3,1,2
2020,21988,05,3,1,2
2019,22004,05,3,1,2
2021,170,05,3,2,1
2020,161,05,3,2,1
2019,141,05,3,2,1
2021,237,05,3,2,2
2020,209,05,3,2,2
2019,185,05,3,2,2
2021,49620,06,1,1,1
2020,50481,06,1,1,1
2019,51393,06,1,1,1
2021,46957,06,1,1,2
2020,47847,06,1,1,2
2019,48708,06,1,1,2
2021,1803,06,1,2,1
2020,1779,06,1,2,1
2019,1655,06,1,2,1
2021,1666,06,1,2,2
2020,1662,06,1,2,2
2019,1573,06,1,2,2
2021,213216,06,2,1,1
2020,214177,06,2,1,1
2019,215536,06,2,1,1
2021,206848,06,2,1,2
2020,207509,06,2,1,2
2019,208499,06,2,1,2
2021,7776,06,2,2,1
2020,7765,06,2,2,1
2019,7218,06,2,2,1
2021,9086,06,2,2,2
2020,8925,06,2,2,2
2019,8211,06,2,2,2
2021,58162,06,3,1,1
2020,57581,06,3,1,1
2019,56934,06,3,1,1
2021,73857,06,3,1,2
2020,73512,06,3,1,2
2019,73030,06,3,1,2
2021,448,06,3,2,1
2020,421,06,3,2,1
2019,376,06,3,2,1
2021,504,06,3,2,2
2020,478,06,3,2,2
2019,426,06,3,2,2
2021,77855,07,1,1,1
2020,79066,07,1,1,1
2019,79945,07,1,1,1
2021,73591,07,1,1,2
2020,74641,07,1,1,2
2019,75355,07,1,1,2
2021,16174,07,1,2,1
2020,16175,07,1,2,1
2019,15163,07,1,2,1
2021,15394,07,1,2,2
2020,15382,07,1,2,2
2019,14560,07,1,2,2
2021,319697,07,2,1,1
2020,319755,07,2,1,1
2019,317084,07,2,1,1
2021,310502,07,2,1,2
2020,310582,07,2,1,2
2019,308383,07,2,1,2
2021,87712,07,2,2,1
2020,87781,07,2,2,1
2019,81176,07,2,2,1
2021,84721,07,2,2,2
2020,84937,07,2,2,2
2019,79150,07,2,2,2
2021,75923,07,3,1,1
2020,74297,07,3,1,1
2019,72522,07,3,1,1
2021,95143,07,3,1,2
2020,93167,07,3,1,2
2019,91184,07,3,1,2
2021,7492,07,3,2,1
2020,7224,07,3,2,1
2019,6867,07,3,2,1
2021,8804,07,3,2,2
2020,8536,07,3,2,2
2019,8071,07,3,2,2
2021,390709,08,1,1,1
2020,400042,08,1,1,1
2019,406857,08,1,1,1
2021,368763,08,1,1,2
2020,377523,08,1,1,2
2019,384000,08,1,1,2
2021,66671,08,1,2,1
2020,68576,08,1,2,1
2019,63456,08,1,2,1
2021,62530,08,1,2,2
2020,64219,08,1,2,2
2019,59207,08,1,2,2
2021,1506091,08,2,1,1
2020,1506464,08,2,1,1
2019,1506278,08,2,1,1
2021,1518234,08,2,1,2
2020,1519981,08,2,1,2
2019,1522017,08,2,1,2
2021,366417,08,2,2,1
2020,369365,08,2,2,1
2019,334255,08,2,2,1
2021,344414,08,2,2,2
2020,349893,08,2,2,2
2019,319265,08,2,2,2
2021,447928,08,3,1,1
2020,446745,08,3,1,1
2019,440376,08,3,1,1
2021,611247,08,3,1,2
2020,609089,08,3,1,2
2019,601342,08,3,1,2
2021,13434,08,3,2,1
2020,13124,08,3,2,1
2019,11467,08,3,2,1
2021,18292,08,3,2,2
2020,18381,08,3,2,2
2019,16059,08,3,2,2
2021,73949,48,1,1,1
2020,75820,48,1,1,1
2019,76997,48,1,1,1
2021,69988,48,1,1,2
2020,71793,48,1,1,2
2019,73069,48,1,1,2
2021,6874,48,1,2,1
2020,6671,48,1,2,1
2019,5979,48,1,2,1
2021,6277,48,1,2,2
2020,6109,48,1,2,2
2019,5643,48,1,2,2
2021,326914,48,2,1,1
2020,329974,48,2,1,1
2019,331539,48,2,1,1
2021,327857,48,2,1,2
2020,330830,48,2,1,2
2019,332647,48,2,1,2
2021,36959,48,2,2,1
2020,35887,48,2,2,1
2019,31962,48,2,2,1
2021,37062,48,2,2,2
2020,36621,48,2,2,2
2019,32635,48,2,2,2
2021,111756,48,3,1,1
2020,110539,48,3,1,1
2019,108966,48,3,1,1
2021,154263,48,3,1,2
2020,152936,48,3,1,2
2019,151255,48,3,1,2
2021,964,48,3,2,1
2020,907,48,3,2,1
2019,769,48,3,2,1
2021,1471,48,3,2,2
2020,1356,48,3,2,2
2019,1190,48,3,2,2
2021,22330,09,1,1,1
2020,22755,09,1,1,1
2019,22956,09,1,1,1
2021,21016,09,1,1,2
2020,21490,09,1,1,2
2019,21713,09,1,1,2
2021,2379,09,1,2,1
2020,2408,09,1,2,1
2019,2206,09,1,2,1
2021,2321,09,1,2,2
2020,2320,09,1,2,2
2019,2169,09,1,2,2
2021,102439,09,2,1,1
2020,103064,09,2,1,1
2019,104176,09,2,1,1
2021,96313,09,2,1,2
2020,96836,09,2,1,2
2019,97702,09,2,1,2
2021,11673,09,2,2,1
2020,11427,09,2,2,1
2019,10599,09,2,2,1
2021,11521,09,2,2,2
2020,11561,09,2,2,2
2019,10725,09,2,2,2
2021,38651,09,3,1,1
2020,38514,09,3,1,1
2019,37935,09,3,1,1
2021,46428,09,3,1,2
2020,46365,09,3,1,2
2019,46006,09,3,1,2
2021,448,09,3,2,1
2020,410,09,3,2,1
2019,358,09,3,2,1
2021,536,09,3,2,2
2020,500,09,3,2,2
2019,413,09,3,2,2
2021,24590,10,1,1,1
2020,25044,10,1,1,1
2019,25562,10,1,1,1
2021,23307,10,1,1,2
2020,23815,10,1,1,2
2019,24269,10,1,1,2
2021,1086,10,1,2,1
2020,1103,10,1,2,1
2019,1073,10,1,2,1
2021,1049,10,1,2,2
2020,1043,10,1,2,2
2019,1024,10,1,2,2
2021,121601,10,2,1,1
2020,122407,10,2,1,1
2019,123865,10,2,1,1
2021,116016,10,2,1,2
2020,116563,10,2,1,2
2019,117620,10,2,1,2
2021,5202,10,2,2,1
2020,5280,10,2,2,1
2019,5182,10,2,2,1
2021,5343,10,2,2,2
2020,5341,10,2,2,2
2019,5104,10,2,2,2
2021,39996,10,3,1,1
2020,39810,10,3,1,1
2019,39306,10,3,1,1
2021,50445,10,3,1,2
2020,50574,10,3,1,2
2019,50365,10,3,1,2
2021,476,10,3,2,1
2020,440,10,3,2,1
2019,400,10,3,2,1
2021,447,10,3,2,2
2020,430,10,3,2,2
2019,381,10,3,2,2
2021,101111,11,1,1,1
2020,103829,11,1,1,1
2019,105764,11,1,1,1
2021,95484,11,1,1,2
2020,97682,11,1,1,2
2019,99605,11,1,1,2
2021,3512,11,1,2,1
2020,3636,11,1,2,1
2019,3400,11,1,2,1
2021,3522,11,1,2,2
2020,3580,11,1,2,2
2019,3282,11,1,2,2
2021,395620,11,2,1,1
2020,395194,11,2,1,1
2019,395813,11,2,1,1
2021,393119,11,2,1,2
2020,392676,11,2,1,2
2019,393181,11,2,1,2
2021,19330,11,2,2,1
2020,18810,11,2,2,1
2019,17121,11,2,2,1
2021,19772,11,2,2,2
2020,19250,11,2,2,2
2019,17692,11,2,2,2
2021,92185,11,3,1,1
2020,89931,11,3,1,1
2019,87717,11,3,1,1
2021,117832,11,3,1,2
2020,115267,11,3,1,2
2019,112750,11,3,1,2
2021,2326,11,3,2,1
2020,2161,11,3,2,1
2019,1976,11,3,2,1
2021,2147,11,3,2,2
2020,2033,11,3,2,2
2019,1854,11,3,2,2
2021,38393,39,1,1,1
2020,39084,39,1,1,1
2019,39805,39,1,1,1
2021,36456,39,1,1,2
2020,37283,39,1,1,2
2019,38023,39,1,1,2
2021,2579,39,1,2,1
2020,2615,39,1,2,1
2019,2418,39,1,2,1
2021,2538,39,1,2,2
2020,2539,39,1,2,2
2019,2304,39,1,2,2
2021,171958,39,2,1,1
2020,171882,39,2,1,1
2019,172824,39,2,1,1
