,value,percentage,datetime,type,COD-CCAA
0,171819.515,0.5210083441168245,2019-01-01T00:00:00.000+01:00,Hidráulica,11
1,261289.653,0.7572128247059633,2019-02-01T00:00:00.000+01:00,Hidráulica,11
2,141990.993,0.49351434270589845,2019-03-01T00:00:00.000+01:00,Hidráulica,11
3,148493.429,0.543648164129291,2019-04-01T00:00:00.000+02:00,Hidráulica,11
4,119019.553,0.5566189502320787,2019-05-01T00:00:00.000+02:00,Hidráulica,11
5,81570.817,0.602066005303132,2019-06-01T00:00:00.000+02:00,Hidráulica,11
6,64653.584,0.48899454921936447,2019-07-01T00:00:00.000+02:00,Hidráulica,11
7,36158.663,0.34075962973928675,2019-08-01T00:00:00.000+02:00,Hidráulica,11
8,37947.521,0.22387153132720994,2019-09-01T00:00:00.000+02:00,Hidráulica,11
9,70126.813,0.34933677145887804,2019-10-01T00:00:00.000+02:00,Hidráulica,11
10,356504.89,0.6165497929695699,2019-11-01T00:00:00.000+01:00,Hidráulica,11
11,426727.744,0.7276797090621794,2019-12-01T00:00:00.000+01:00,Hidráulica,11
0,135979.771,0.41233148238193423,2019-01-01T00:00:00.000+01:00,Eólica,11
1,65149.886,0.1888032252365213,2019-02-01T00:00:00.000+01:00,Eólica,11
2,122244.591,0.4248822950108983,2019-03-01T00:00:00.000+01:00,Eólica,11
3,104876.368,0.3839620736601612,2019-04-01T00:00:00.000+02:00,Eólica,11
4,73694.773,0.3446484728845464,2019-05-01T00:00:00.000+02:00,Eólica,11
5,40426.257,0.298382141512053,2019-06-01T00:00:00.000+02:00,Eólica,11
6,42352.3,0.3203232143619956,2019-07-01T00:00:00.000+02:00,Eólica,11
7,44489.981,0.41927406034531484,2019-08-01T00:00:00.000+02:00,Eólica,11
8,108340.237,0.639153602722635,2019-09-01T00:00:00.000+02:00,Eólica,11
9,108200.772,0.5390022267208716,2019-10-01T00:00:00.000+02:00,Eólica,11
10,202227.654,0.34973831132140104,2019-11-01T00:00:00.000+01:00,Eólica,11
11,137968.759,0.23527194521664366,2019-12-01T00:00:00.000+01:00,Eólica,11
0,21.001,6.368133581797987e-05,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,11
1,38.817,0.00011249098415929765,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,11
2,13.418,4.663658807166554e-05,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,11
3,59.544,0.00021799608577235092,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,11
4,69.037,0.00032286545780567686,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,11
5,54.294,0.0004007385593787574,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,11
6,62.443,0.00047227523592357655,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,11
7,52.382,0.0004936485324416812,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,11
8,51.236,0.0003022669591270778,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,11
9,9.467,4.715986758732638e-05,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,11
10,18.643,3.224173949011384e-05,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,11
11,17.887,3.0501899956135037e-05,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,11
0,21962.368,0.06659649216542331,2019-01-01T00:00:00.000+01:00,Otras renovables,11
1,18589.298,0.05387145907335609,2019-02-01T00:00:00.000+01:00,Otras renovables,11
2,23465.013,0.08155672569513168,2019-03-01T00:00:00.000+01:00,Otras renovables,11
3,19713.178,0.07217176612477531,2019-04-01T00:00:00.000+02:00,Otras renovables,11
4,21042.546,0.09840971142556909,2019-05-01T00:00:00.000+02:00,Otras renovables,11
5,13433.473,0.09915111462543623,2019-06-01T00:00:00.000+02:00,Otras renovables,11
6,25149.065,0.1902099611827164,2019-07-01T00:00:00.000+02:00,Otras renovables,11
7,25410.907,0.2394726613829568,2019-08-01T00:00:00.000+02:00,Otras renovables,11
8,23166.797,0.136672598991028,2019-09-01T00:00:00.000+02:00,Otras renovables,11
9,22405.666,0.11161384195266302,2019-10-01T00:00:00.000+02:00,Otras renovables,11
10,19474.439,0.03367965396953887,2019-11-01T00:00:00.000+01:00,Otras renovables,11
11,21708.096,0.03701784382122073,2019-12-01T00:00:00.000+01:00,Otras renovables,11
0,329782.655,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,11
1,345067.654,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,11
2,287714.01499999996,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,11
3,273142.51900000003,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,11
4,213825.909,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,11
5,135484.841,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,11
6,132217.392,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,11
7,106111.93299999999,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,11
8,169505.791,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,11
9,200742.718,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,11
10,578225.626,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,11
11,586422.486,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,11
